@RELATION Gesture

@ATTRIBUTE red_0 NUMERIC
@ATTRIBUTE red_1 NUMERIC
@ATTRIBUTE red_2 NUMERIC
@ATTRIBUTE red_3 NUMERIC
@ATTRIBUTE red_4 NUMERIC
@ATTRIBUTE red_5 NUMERIC
@ATTRIBUTE red_6 NUMERIC
@ATTRIBUTE red_7 NUMERIC
@ATTRIBUTE red_8 NUMERIC
@ATTRIBUTE red_9 NUMERIC
@ATTRIBUTE red_10 NUMERIC
@ATTRIBUTE red_11 NUMERIC
@ATTRIBUTE red_12 NUMERIC
@ATTRIBUTE green_0 NUMERIC
@ATTRIBUTE green_1 NUMERIC
@ATTRIBUTE green_2 NUMERIC
@ATTRIBUTE green_3 NUMERIC
@ATTRIBUTE green_4 NUMERIC
@ATTRIBUTE green_5 NUMERIC
@ATTRIBUTE green_6 NUMERIC
@ATTRIBUTE green_7 NUMERIC
@ATTRIBUTE green_8 NUMERIC
@ATTRIBUTE green_9 NUMERIC
@ATTRIBUTE green_10 NUMERIC
@ATTRIBUTE green_11 NUMERIC
@ATTRIBUTE green_12 NUMERIC
@ATTRIBUTE blue_0 NUMERIC
@ATTRIBUTE blue_1 NUMERIC
@ATTRIBUTE blue_2 NUMERIC
@ATTRIBUTE blue_3 NUMERIC
@ATTRIBUTE blue_4 NUMERIC
@ATTRIBUTE blue_5 NUMERIC
@ATTRIBUTE blue_6 NUMERIC
@ATTRIBUTE blue_7 NUMERIC
@ATTRIBUTE blue_8 NUMERIC
@ATTRIBUTE blue_9 NUMERIC
@ATTRIBUTE blue_10 NUMERIC
@ATTRIBUTE blue_11 NUMERIC
@ATTRIBUTE blue_12 NUMERIC
@ATTRIBUTE clear_0 NUMERIC
@ATTRIBUTE clear_1 NUMERIC
@ATTRIBUTE clear_2 NUMERIC
@ATTRIBUTE clear_3 NUMERIC
@ATTRIBUTE clear_4 NUMERIC
@ATTRIBUTE clear_5 NUMERIC
@ATTRIBUTE clear_6 NUMERIC
@ATTRIBUTE clear_7 NUMERIC
@ATTRIBUTE clear_8 NUMERIC
@ATTRIBUTE clear_9 NUMERIC
@ATTRIBUTE clear_10 NUMERIC
@ATTRIBUTE clear_11 NUMERIC
@ATTRIBUTE clear_12 NUMERIC
@ATTRIBUTE proximity_0 NUMERIC
@ATTRIBUTE proximity_1 NUMERIC
@ATTRIBUTE proximity_2 NUMERIC
@ATTRIBUTE proximity_3 NUMERIC
@ATTRIBUTE proximity_4 NUMERIC
@ATTRIBUTE proximity_5 NUMERIC
@ATTRIBUTE proximity_6 NUMERIC
@ATTRIBUTE proximity_7 NUMERIC
@ATTRIBUTE proximity_8 NUMERIC
@ATTRIBUTE proximity_9 NUMERIC
@ATTRIBUTE proximity_10 NUMERIC
@ATTRIBUTE proximity_11 NUMERIC
@ATTRIBUTE proximity_12 NUMERIC
@ATTRIBUTE class {Up,Down,Left,Right,Undefinied}

@DATA
11.0, 5.333333333333334, 1.333333333333334, 1.0, 1.0, 1.583333333333334, 14.5, 4.416666666666668, 17.999999999999957, 43.5, 45.16666666666667, 47.0, 48.0, 13.0, 6.333333333333334, 3.166666666666667, 2.0, 2.0, 3.0, 16.5, 6.416666666666668, 19.999999999999954, 47.5, 50.16666666666667, 51.08333333333333, 52.0, 11.0, 8.25, 6.333333333333334, 5.0, 5.0, 6.0, 18.0, 8.0, 21.333333333333286, 49.25, 51.0, 52.0, 52.0, 36.0, 20.5, 11.666666666666668, 8.0, 9.0, 18.166666666666675, 47.5, 16.0, 62.99999999999986, 145.75, 150.33333333333334, 154.0, 155.0, 8.0, 129.83333333333331, 215.66666666666666, 141.0, 109.33333333333334, 88.41666666666666, 67.5, 48.41666666666666, 34.00000000000001, 20.25, 14.499999999999996, 7.833333333333336, 4.0, Up
10.0, 5.833333333333334, 3.0, 2.25, 1.333333333333333, 7.500000000000002, 10.5, 4.083333333333334, 22.999999999999986, 43.25, 44.833333333333336, 46.416666666666664, 47.0, 11.0, 7.25, 4.833333333333334, 3.25, 2.0, 8.416666666666668, 12.5, 5.166666666666668, 25.66666666666665, 47.25, 48.833333333333336, 50.416666666666664, 52.0, 11.0, 7.833333333333334, 5.833333333333334, 5.0, 4.0, 10.416666666666668, 13.5, 6.083333333333334, 26.999999999999982, 48.25, 49.833333333333336, 51.0, 52.0, 29.0, 20.916666666666668, 14.333333333333334, 10.25, 8.0, 28.16666666666667, 11.5, 13.250000000000002, 97.99999999999993, 143.0, 147.66666666666666, 151.83333333333331, 154.0, 6.0, 42.58333333333333, 65.0, 62.75, 56.0, 48.33333333333333, 42.5, 31.75, 25.000000000000004, 19.25, 13.666666666666664, 8.583333333333336, 6.0, Up
9.0, 5.833333333333334, 2.8333333333333335, 2.0, 1.0, 1.916666666666667, 15.0, 4.0, 13.999999999999991, 42.25, 44.66666666666667, 46.0, 47.0, 10.0, 6.833333333333334, 4.666666666666667, 2.25, 2.0, 2.0, 16.5, 5.0, 15.666666666666657, 46.25, 48.66666666666667, 50.416666666666664, 51.0, 10.0, 7.833333333333334, 5.833333333333334, 5.0, 4.0, 4.0, 17.0, 6.0, 17.33333333333332, 47.25, 49.66666666666667, 50.416666666666664, 52.0, 29.0, 20.5, 13.5, 9.5, 8.0, 8.0, 47.5, 12.166666666666668, 47.99999999999997, 141.75, 147.33333333333334, 150.83333333333331, 154.0, 15.0, 51.08333333333333, 72.66666666666667, 66.5, 56.333333333333336, 51.166666666666664, 41.5, 33.75, 27.66666666666667, 21.5, 16.666666666666664, 11.166666666666671, 8.0, Up
9.0, 5.75, 3.166666666666667, 1.75, 1.0, 4.833333333333332, 3.5, 4.0, 19.666666666666625, 43.75, 45.16666666666667, 46.58333333333333, 48.0, 10.0, 6.75, 4.166666666666667, 2.75, 2.0, 5.833333333333332, 4.5, 5.916666666666668, 21.66666666666662, 47.75, 50.16666666666667, 51.58333333333333, 52.0, 10.0, 8.166666666666668, 6.166666666666667, 4.75, 4.0, 7.749999999999998, 5.5, 6.916666666666668, 22.66666666666662, 48.75, 50.16666666666667, 51.58333333333333, 52.0, 29.0, 19.333333333333336, 12.833333333333336, 9.5, 8.0, 19.16666666666666, 11.0, 13.833333333333336, 131.33333333333331, 145.75, 150.33333333333334, 153.16666666666666, 156.0, 13.0, 53.33333333333333, 73.33333333333333, 70.0, 57.66666666666667, 51.58333333333333, 44.0, 36.41666666666666, 30.000000000000007, 22.25, 14.833333333333325, 9.0, 6.0, Up
10.0, 6.833333333333334, 4.666666666666667, 2.75, 2.0, 2.0, 21.0, 40.583333333333336, 41.666666666666664, 43.5, 44.0, 44.916666666666664, 46.0, 12.0, 8.833333333333334, 6.5, 3.75, 3.0, 3.0, 23.0, 44.16666666666667, 45.666666666666664, 47.5, 48.0, 49.83333333333333, 50.0, 11.0, 8.916666666666666, 7.666666666666667, 5.75, 5.0, 5.0, 24.5, 45.75, 47.666666666666664, 48.75, 49.0, 49.916666666666664, 51.0, 32.0, 23.5, 17.333333333333336, 13.0, 10.0, 10.416666666666668, 71.0, 135.08333333333334, 140.0, 143.25, 146.5, 148.83333333333334, 152.0, 6.0, 26.416666666666664, 45.0, 60.25, 59.0, 51.666666666666664, 46.0, 40.33333333333333, 33.66666666666667, 24.5, 17.83333333333333, 13.333333333333336, 5.0, Up
8.0, 6.0, 5.0, 3.0, 3.0, 10.0, 40.0, 41.0, 19.0, 30.0, 44.0, 45.0, 47.0, 9.0, 7.0, 6.0, 4.0, 4.0, 12.0, 44.0, 45.0, 20.0, 32.0, 49.0, 50.0, 51.0, 9.0, 8.0, 6.0, 5.0, 5.0, 13.0, 45.0, 46.0, 20.0, 33.0, 49.0, 50.0, 51.0, 25.0, 21.0, 17.0, 13.0, 10.0, 37.0, 135.0, 137.0, 60.0, 101.0, 146.0, 149.0, 152.0, 10.0, 19.0, 26.0, 35.0, 35.0, 34.0, 30.0, 26.0, 22.0, 17.0, 13.0, 11.0, 5.0, Up
11.0, 6.833333333333334, 4.666666666666667, 2.5, 1.0, 1.0, 1.5, 24.16666666666669, 40.666666666666664, 42.5, 43.833333333333336, 45.83333333333333, 47.0, 12.0, 8.75, 5.666666666666667, 3.75, 2.666666666666667, 2.0, 2.5, 25.75000000000002, 44.0, 46.5, 48.66666666666667, 49.916666666666664, 51.0, 12.0, 9.833333333333334, 7.833333333333334, 6.75, 6.0, 5.583333333333333, 5.0, 28.333333333333357, 46.33333333333333, 48.5, 49.833333333333336, 50.916666666666664, 52.0, 31.0, 24.416666666666668, 17.333333333333336, 13.0, 10.0, 9.583333333333332, 9.5, 81.16666666666674, 138.0, 144.0, 147.5, 149.83333333333334, 154.0, 8.0, 48.58333333333333, 101.33333333333333, 108.75, 93.0, 82.83333333333333, 73.5, 65.91666666666666, 53.66666666666667, 42.25, 28.333333333333325, 15.916666666666673, 5.0, Up
9.0, 6.0, 4.0, 3.0, 2.0, 2.0, 9.0, 40.0, 42.0, 44.0, 45.0, 46.0, 47.0, 11.0, 8.0, 6.0, 4.0, 3.0, 2.0, 10.0, 43.0, 46.0, 48.0, 49.0, 50.0, 51.0, 10.0, 8.0, 7.0, 6.0, 5.0, 5.0, 13.0, 45.0, 48.0, 49.0, 50.0, 51.0, 52.0, 29.0, 22.0, 16.0, 12.0, 10.0, 9.0, 33.0, 136.0, 141.0, 145.0, 148.0, 151.0, 154.0, 8.0, 28.0, 45.0, 59.0, 58.0, 53.0, 50.0, 43.0, 37.0, 27.0, 19.0, 8.0, 7.0, Up
8.0, 5.5, 3.666666666666667, 2.5, 1.666666666666667, 1.166666666666667, 2.0, 2.833333333333334, 28.33333333333331, 42.0, 43.66666666666667, 45.166666666666664, 46.0, 9.0, 6.5, 4.666666666666667, 3.5, 2.666666666666667, 2.166666666666667, 3.0, 3.833333333333334, 31.333333333333307, 46.5, 48.66666666666667, 50.0, 50.0, 9.0, 8.166666666666666, 6.666666666666667, 6.0, 5.666666666666667, 5.0, 5.0, 5.833333333333334, 33.99999999999997, 49.0, 50.333333333333336, 51.166666666666664, 52.0, 25.0, 19.166666666666668, 14.666666666666668, 11.5, 9.666666666666668, 9.166666666666668, 10.0, 12.500000000000002, 96.99999999999993, 142.5, 147.33333333333334, 150.33333333333334, 152.0, 28.0, 53.83333333333333, 84.33333333333333, 93.5, 90.0, 88.83333333333333, 83.0, 77.16666666666666, 66.66666666666667, 55.5, 40.999999999999986, 23.000000000000007, 13.0, Up
9.0, 5.0, 2.0, 1.0, 1.0, 2.5, 40.0, 42.5, 17.0, 31.0, 47.0, 47.5, 48.0, 11.0, 7.0, 3.0, 2.0, 2.0, 3.5, 44.0, 47.0, 18.0, 34.0, 51.0, 52.5, 53.0, 11.0, 9.0, 8.0, 6.5, 6.0, 7.0, 48.0, 50.0, 18.0, 34.0, 52.0, 52.5, 53.0, 30.0, 21.0, 11.0, 10.5, 10.0, 12.0, 139.0, 145.5, 34.0, 102.5, 154.0, 157.0, 159.0, 23.0, 135.0, 204.0, 167.5, 141.0, 121.0, 101.0, 69.0, 24.0, 13.5, 12.0, 11.0, 6.0, Up
